,index,RUC,nombreComercial,direccion,distrito,provincia,departamento,n_trabajadores,tamano_empresa
10185,13880,20507642731,,"Calle 31 Mz. C-6, Lote 13",Santa Anita,Lima,Lima,32,Mediana Empresa/Medium Size Company
10186,13881,20516020211,,Calle Juan De la Fuente 625,Miraflores,Lima,Lima,30,Mediana Empresa/Medium Size Company
10187,13882,20298701520,,"Calle Los Tucanes 145, Urb. Limatambo",San Isidro,Lima,Lima,0,Pequeña Empresa/Small Size Company
10188,13883,20502773136,,"Av. Mariscal La Mar 1337, Urb. Santa Cruz",Miraflores,Lima ,Lima,79,Mediana Empresa/Medium Size Company
10189,13887,20102010559,,Calle Bolognesi 510,Miraflores,Lima,Lima,0,Pequeña Empresa/Small Size Company
10190,13888,20134923874,,"Av. Universitaria, Mz. A, Lote 5, Urb. La Libertad",Los Olivos,Lima,Lima,18,Mediana Empresa/Medium Size Company
10191,13890,20100439485,,"Av. La Paz 434, Of- 403",Miraflores,Lima,Lima,0,No disponible/Notavailable
10192,13892,20501457869,,"Av. Enrique Canaval y Moreyra 480, Piso 22",San Isidro,Lima,Lima,258,Mediana Empresa/Medium Size Company
10193,13893,20509268691,,"Calle Las Begonias 441-475, Of. 326",San Isidro,Lima,Lima,19,Gran Empresa/Big Company
10194,13894,20502397568,,"Av. Paseo de La República 3245, Piso 9",San Isidro,Lima,Lima,0,Pequeña Empresa/Small Size Company
10195,13896,20515871030,,"Jr. Las Grosellas 1938, Asoc. San Hilarión",San Juan de Lurigancho,Lima,Lima,0,No disponible/Notavailable
10196,13897,20414256369,,"Av. Garcilaso De la Vega 1261, Of. 127-B",Cercado,Lima,Lima,13,Pequeña Empresa/Small Size Company
10197,13899,20263992629,,"Av. Los Cipreces Mz. J, Lote 7, Urb. Ind. Lotización Chillón",Puente Piedra,Lima,Lima,0,Pequeña Empresa/Small Size Company
10198,13900,20519431395,,"Av. Manuel Olguín 501, Piso 13",Santiago de Surco,Lima,Lima,117,Mediana Empresa/Medium Size Company
